#class tools::histo::h1d
#title Kinetic energy
#dimension 1
#axis fixed 1000 0 225
#annotation axis_x.title  [keV]
#bin_number 1002
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,42.5438,904.997
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,22.603,510.898
0,0,0,0,0
1,1,1,23.0344,530.585
2,2,2,46.7143,1091.11
3,3,3,70.5833,1660.67
1,1,1,23.7386,563.522
3,3,3,71.7696,1716.97
1,1,1,24.1601,583.712
3,3,3,73.3392,1792.89
4,4,4,98.5549,2428.28
4,4,4,99.2645,2463.36
1,1,1,24.9801,624.007
4,4,4,101.336,2567.23
1,1,1,25.574,654.031
4,4,4,102.872,2645.66
5,5,5,130.194,3390.11
5,5,5,131.134,3439.22
9,9,9,237.79,6282.68
8,8,8,213.313,5687.86
6,6,6,161.319,4337.3
8,8,8,216.58,5863.39
10,10,10,273.424,7476.1
14,14,14,386.02,10643.7
19,19,19,528.017,14673.8
11,11,11,308.021,8625.24
11,11,11,310.774,8780.05
12,12,12,341.7,9729.93
13,13,13,372.798,10690.7
15,15,15,433.699,12539.7
20,20,20,582.167,16946
23,23,23,674.87,19802.3
19,19,19,562.12,16630.5
17,17,17,506.746,15105.5
19,19,19,570.993,17159.7
29,29,29,877.29,26539.4
16,16,16,488.029,14885.8
32,32,32,982.601,30172.1
33,33,33,1021.26,31605.5
24,24,24,747.657,23291.4
41,41,41,1287.02,40400.9
30,30,30,948.433,29984.2
37,37,37,1177.87,37496.8
36,36,36,1154.11,36999.2
33,33,33,1065.51,34403.4
36,36,36,1170.39,38050.7
35,35,35,1146.17,37534.3
47,47,47,1549.22,51066
44,44,44,1460.49,48478.4
43,43,43,1436.24,47971.8
48,48,48,1614.21,54284.9
52,52,52,1761.2,59650.5
56,56,56,1908.5,65042.5
59,59,59,2024.7,69481.9
62,62,62,2141.75,73985.3
66,66,66,2293.78,79719.2
59,59,59,2064.62,72248.3
69,69,69,2430.36,85604
67,67,67,2374.4,84146.3
64,64,64,2282.32,81390.5
83,83,83,2977.97,106847
69,69,69,2491.31,89951
83,83,83,3014.88,109512
79,79,79,2888.53,105616
81,81,81,2980.12,109643
74,74,74,2739.64,101428
89,89,89,3314.17,123413
85,85,85,3184.17,119282
82,82,82,3090.58,116484
67,67,67,2540.38,96321.5
82,82,82,3126.53,119210
75,75,75,2877.45,110397
85,85,85,3280.7,126624
108,108,108,4190.18,162571
98,98,98,3826.2,149386
95,95,95,3729.23,146392
87,87,87,3435.45,135659
90,90,90,3574.09,141935
113,113,113,4512.73,180219
104,104,104,4176.87,167753
103,103,103,4159.65,167988
116,116,116,4711.02,191326
78,78,78,3185.15,130067
106,106,106,4352.49,178719
114,114,114,4706.31,194293
103,103,103,4275.44,177470
83,83,83,3463.72,144547
119,119,119,4992.03,209415
101,101,101,4262.23,179868
104,104,104,4411.87,187160
114,114,114,4860.11,207199
122,122,122,5229.41,224154
115,115,115,4954.18,213426
110,110,110,4764.34,206355
122,122,122,5312.56,231339
125,125,125,5469.99,239367
125,125,125,5499.24,241933
148,148,148,6542.76,289242
124,124,124,5508.86,244739
122,122,122,5448.65,243343
134,134,134,6015.67,270063
136,136,136,6134.34,276692
141,141,141,6393.08,289869
127,127,127,5786.95,263691
136,136,136,6226.77,285094
135,135,135,6212.55,285895
149,149,149,6888.83,318497
126,126,126,5854.12,271991
139,139,139,6489.75,302999
137,137,137,6426.33,301444
113,113,113,5325.88,251018
137,137,137,6490.48,307492
143,143,143,6804.3,323766
122,122,122,5833.91,278972
137,137,137,6581.33,316160
143,143,143,6901.63,333095
135,135,135,6545.62,317372
132,132,132,6430.05,313224
122,122,122,5970.53,292191
153,153,153,7521.36,369745
124,124,124,6124.82,302528
